"Protein","Label","log2FC","SE","DF","pvalue","adj.pvalue","issue"
"sp|A6NNT2|CP096_HUMAN","MBC Squamous vs Normal",0.159927202123043,0.193115437510145,41.5587109289353,0.412320204946307,0.648950149670094,NA
"sp|A6NNT2|CP096_HUMAN","MBC Sarcomatoid vs Normal",-0.223258042413468,0.186728419296621,41.5031410874033,0.238627950548652,0.618673202666689,NA
"sp|A6NNT2|CP096_HUMAN","TNBC vs Normal",0.0975418006909508,0.181340039533945,41.4331202476711,0.593527665839859,0.760692103370706,NA
"sp|A6PVL3|KNCN_HUMAN","MBC Spindle vs Normal",0.469482327734901,0.484137639879418,9.4995552233151,0.356222962984888,0.587304264715638,NA
"sp|A6PVL3|KNCN_HUMAN","MBC Squamous vs Normal",0.692606446819042,0.592945091489945,9.4995552233151,0.271254302982707,0.527966205070921,NA
"sp|A6PVL3|KNCN_HUMAN","MBC Sarcomatoid vs Normal",0.343663367008253,0.484137639879418,9.4995552233151,0.494854139718087,0.824601200530826,NA
"sp|A6PVL3|KNCN_HUMAN","TNBC vs Normal",0.228850214821298,0.484137639879418,9.4995552233151,0.647101979868745,0.798993710128491,NA
"sp|A7E2V4|ZSWM8_HUMAN","MBC Spindle vs Normal",0.361051358531547,0.423753205982177,23.4995552230484,0.402796306335119,0.623926407733107,NA
"sp|A7E2V4|ZSWM8_HUMAN","MBC Squamous vs Normal",0.173731441194496,0.405185564069655,23.4995552230465,0.671995500781896,0.83247203828205,NA
"sp|A7E2V4|ZSWM8_HUMAN","MBC Sarcomatoid vs Normal",0.372664008374322,0.423753205982177,23.4995552230485,0.388069450259008,0.739092324697759,NA
"sp|A7E2V4|ZSWM8_HUMAN","TNBC vs Normal",-0.0573525664064507,0.382864370486334,23.4995552230519,0.882201737628606,0.943277147331657,NA
"sp|A7MD48|SRRM4_HUMAN","MBC Spindle vs Normal",0.369991569141017,0.376760717203204,27.4995552230199,0.334644963912596,0.567092962797992,NA
"sp|A7MD48|SRRM4_HUMAN","MBC Squamous vs Normal",0.288794862139836,0.478854514486789,27.4995552230259,0.55138743640191,0.74952569630356,NA
"sp|A7MD48|SRRM4_HUMAN","MBC Sarcomatoid vs Normal",-0.457388894961567,0.410066507328438,27.4995552230188,0.274331072630021,0.651767996037373,NA
"sp|A7MD48|SRRM4_HUMAN","TNBC vs Normal",0.682403323529878,0.39098307384027,27.4995552230389,0.0920898358766955,0.241735819176326,NA
"sp|A8K0Z3|WASH1_HUMAN","MBC Spindle vs Normal",-0.872464365667323,0.412885927065534,14.4995552231991,0.0523759596286307,0.182668377746291,NA
"sp|A8K0Z3|WASH1_HUMAN","MBC Squamous vs Normal",-0.164651437894316,0.369296399948622,14.4995552231991,0.662289688034683,0.826517445169962,NA
"sp|A8K0Z3|WASH1_HUMAN","MBC Sarcomatoid vs Normal",0.133909997544208,0.412885927065534,14.4995552231991,0.750322141005937,0.918392117627493,NA
"sp|A8K0Z3|WASH1_HUMAN","TNBC vs Normal",-0.123043609176003,0.345445150694196,14.4995552231991,0.726828922100864,0.853771015380998,NA
"sp|A8K2U0|A2ML1_HUMAN","MBC Spindle vs Normal",-0.576086889145961,0.494142545084731,34.10318449971,0.2517717174211,0.478518442109948,NA
"sp|A8K2U0|A2ML1_HUMAN","MBC Squamous vs Normal",-0.903052614797972,0.563128787590637,33.9588132853356,0.118056436947986,0.349833449083626,NA
"sp|A8K2U0|A2ML1_HUMAN","MBC Sarcomatoid vs Normal",-0.618706599149481,0.510960010390592,33.8025453577311,0.234343256299171,0.614295763971261,NA
"sp|A8K2U0|A2ML1_HUMAN","TNBC vs Normal",-0.492523126570557,0.49320893066818,33.5424803780042,0.32513380712508,0.532665551110826,NA
"sp|A8MUU1|FB5L3_HUMAN","MBC Spindle vs Normal",0.599726167869926,0.408198081901779,18.4995552231566,0.158578416825158,0.361625237401448,NA
"sp|A8MUU1|FB5L3_HUMAN","MBC Squamous vs Normal",2.20085264503647,0.5269814577198,18.4995552231566,0.000538580269401192,0.023028386670457,NA
"sp|A8MUU1|FB5L3_HUMAN","MBC Sarcomatoid vs Normal",0.757906500012946,0.464753960889631,18.4995552231463,0.11984643003732,0.472830305322552,NA
"sp|A8MUU1|FB5L3_HUMAN","TNBC vs Normal",-0.133867822176546,0.430278558440526,18.4995552231413,0.759188710454304,0.877103803034948,NA
"sp|A8MWD9|RUXGL_HUMAN","MBC Spindle vs Normal",0.592688125286514,0.377821883908754,17.4995552231312,0.134622794064491,0.325904625494021,NA
"sp|A8MWD9|RUXGL_HUMAN","MBC Squamous vs Normal",-0.369155577840857,0.487765954737105,17.4995552231325,0.459221341182721,0.68278325859728,NA
"sp|A8MWD9|RUXGL_HUMAN","MBC Sarcomatoid vs Normal",0.0704271938300031,0.487765954737105,17.4995552231325,0.886844508936034,0.971541684627052,NA
"sp|A8MWD9|RUXGL_HUMAN","TNBC vs Normal",0.553946565215089,0.398259234335794,17.4995552231344,0.181684256152361,0.369833709162128,NA
"sp|A8MWY0|ELAP2_HUMAN","MBC Spindle vs Normal",0.826274441845272,0.777829288089557,9.4995552233151,0.314366023724829,0.544908015004632,NA
"sp|A8MWY0|ELAP2_HUMAN","MBC Squamous vs Normal",2.15699259950809,1.04356749783511,9.4995552233151,0.0670802891023306,0.258254537308018,NA
"sp|A8MWY0|ELAP2_HUMAN","MBC Sarcomatoid vs Normal",-2.38868892953321,1.04356749783511,9.4995552233151,0.046399203365737,0.353064661113804,NA
"sp|A8MWY0|ELAP2_HUMAN","TNBC vs Normal",-0.0487180002805871,0.85206929394967,9.4995552233151,0.955589603062504,0.98120120415871,NA
"sp|A8MX76|CAN14_HUMAN","MBC Spindle vs Normal",0.541363290612873,0.555201234490752,9.4995552233151,0.353697864425997,0.584334475379785,NA
"sp|A8MX76|CAN14_HUMAN","MBC Squamous vs Normal",1.73334888995952,0.744880620907873,9.4995552233151,0.04354150364858,0.20826122592592,NA
"sp|A8MX76|CAN14_HUMAN","MBC Sarcomatoid vs Normal",2.06777109906305,0.744880620907873,9.4995552233151,0.0205051575349385,0.276828618461216,NA
"sp|A8MX76|CAN14_HUMAN","TNBC vs Normal",0.585552494659881,0.6081924801706,9.4995552233151,0.359526889698766,0.567297856640648,NA
"sp|A8MY62|BLML_HUMAN","MBC Spindle vs Normal",-0.638878612463473,0.770587317755138,22.6479158041378,0.415712019962836,0.634555025078115,NA
"sp|A8MY62|BLML_HUMAN","MBC Squamous vs Normal",1.06188316394056,0.822430054494719,22.6805939349921,0.209655916608461,0.457932659960585,NA
"sp|A8MY62|BLML_HUMAN","MBC Sarcomatoid vs Normal",-0.091183145167218,0.770758686596738,22.6604930888223,0.906869932263963,0.976617230332622,NA
"sp|A8MY62|BLML_HUMAN","TNBC vs Normal",3.20368032072731,0.822430054494719,22.6805939350164,0.000744143003707971,0.0131852838469506,NA
"sp|B0I1T2|MYO1G_HUMAN","MBC Spindle vs Normal",-1.08086908197292,0.519161140288159,9.4995552233151,0.0654392816354119,0.210446780713881,NA
"sp|B0I1T2|MYO1G_HUMAN","MBC Squamous vs Normal",0.23174712379579,0.696527760576377,9.4995552233151,0.746572803478413,0.88086089845682,NA
"sp|B0I1T2|MYO1G_HUMAN","MBC Sarcomatoid vs Normal",-0.231328518028691,0.696527760576377,9.4995552233151,0.747012375914916,0.918392117627493,NA
"sp|B0I1T2|MYO1G_HUMAN","TNBC vs Normal",-0.398887658370478,0.568712535031857,9.4995552233151,0.499882109110387,0.688362765331779,NA
"sp|B2RPK0|HGB1A_HUMAN","MBC Spindle vs Normal",1.097950389632,0.302060847595582,50.0627297365663,0.000655589074280789,0.0118173062434053,NA
