Protein,g2_g1.p-value,g2_g1.log2foldchange,g4_g3.p-value,g4_g3.log2foldchange
sp|O43592|XPOT_HUMAN,0.187118707041902,-2.31403482426118,0.0104228838155964,-3.48726641490233
sp|O43598|DNPH1_HUMAN,0.0167229564495082,-1.79937367779645,0.0392284933357718,-1.61792124595151
sp|O43615|TIM44_HUMAN,0.00919691184733296,-1.69988284721014,0.0148893998636395,-1.78196690526337
sp|O43617-2|TPPC3_HUMAN;sp|O43617|TPPC3_HUMAN,0.0532799243374538,-1.04169777282935,0.00367175709886247,-1.27223472145082
sp|O43665-1|RGS10_HUMAN;sp|O43665-2|RGS10_HUMAN;sp|O43665|RGS10_HUMAN,0.131517921708993,1.58670471742922,0.798311304460772,0.291187082019214
sp|O43681|GET3_HUMAN,0.000352445888472719,-2.31742149388391,9.58582126431295e-06,-3.48186520028339
sp|O43684-2|BUB3_HUMAN;sp|O43684|BUB3_HUMAN,6.29766659849818e-05,-2.40958403209001,6.23301410485055e-12,-4.01224680121651
sp|O43707|ACTN4_HUMAN,0.000231915638392977,-2.04271532638042,0.0302809710287701,-1.32407360720781
sp|O43747-2|AP1G1_HUMAN;sp|O43747|AP1G1_HUMAN,1.15463194561016e-14,-3.55517450071473,1.11863789342692e-08,-2.63503733118265
sp|O43752-2|STX6_HUMAN,0.087883385219703,-0.633079759309158,0.00282917114295334,-1.38211118716046
sp|O43760-2|SNG2_HUMAN;sp|O43760|SNG2_HUMAN,0.0923175148373527,-0.886974027313297,4.34400930104939e-05,-2.21560497773178
sp|O43765|SGTA_HUMAN,0.336329127853811,-0.659536760210771,0.724572810969584,-0.288535821122397
sp|O43772|MCAT_HUMAN,0.690616701193321,-0.119954125680814,0.0603312852471374,-0.622269088726086
sp|O43776|SYNC_HUMAN,1.29331316429671e-05,-3.05215165645272,0.000619859182976246,-2.65131578515763
sp|O43795-2|MYO1B_HUMAN;sp|O43795|MYO1B_HUMAN,3.01411535730267e-06,-2.73847074835201,0.554270602303654,0.396109289213076
sp|O43809|CPSF5_HUMAN,1.18293931774538e-05,-3.46826687680956,0.000228337936827971,-3.10073560509194
sp|O43813|LANC1_HUMAN,7.87606964125498e-05,-1.62550236583903,4.765796774997e-07,-2.45217334110688
sp|O43837|IDH3B_HUMAN,0.281353616098185,-0.957560297817288,0.0311970454709691,-1.2481180747787
sp|O43852-3|CALU_HUMAN;sp|O43852|CALU_HUMAN,0.00460188801874661,-2.80317892270282,0.000665662360992192,-3.5980361757603
sp|O43865-2|SAHH2_HUMAN;sp|O43865|SAHH2_HUMAN,0.184459414778423,-0.500340548566235,0.00636887848899681,-1.19257047486163
sp|O43920|NDUS5_HUMAN,0.281034948668725,-1.02812919018206,0.008063555515609,-1.88602936038405
sp|O43929|ORC4_HUMAN,0.109386825801532,2.0975590144807,0.16572687066506,1.0711402659877
sp|O60216|RAD21_HUMAN,0.28627884083467,-0.74876591245857,0.00749756393354106,-2.16020235490715
sp|O60220|TIM8A_HUMAN,0.104667564932115,0.693492300399284,0.349164504194143,0.400170549588222
sp|O60231|DHX16_HUMAN,0.439696386145344,-0.36005197201419,0.519517782898215,-0.34518160708003
sp|O60240|PLIN1_HUMAN,1.64082433640189e-07,5.26201743128588,7.70004022543347e-06,4.98354373773342
sp|O60264|SMCA5_HUMAN,0.0143161081409708,-1.20713340495504,1.37491573681814e-09,-3.7728564917213
sp|O60287|NPA1P_HUMAN,0.483228054080663,0.374062380594061,0.170342273251324,0.955921547250382
sp|O60306|AQR_HUMAN,0.000670527391123832,1.3950406713051,0.00520153451710059,1.22764291303032
sp|O60313-10|OPA1_HUMAN;sp|O60313-11|OPA1_HUMAN;sp|O60313-2|OPA1_HUMAN;sp|O60313|OPA1_HUMAN,0.0368110173094736,-0.692120644851497,0.048625628096181,-0.703892820822294
sp|O60341-2|KDM1A_HUMAN;sp|O60341|KDM1A_HUMAN,0.327374330311506,0.482468225773677,0.787107412137843,0.121947415002171
sp|O60437|PEPL_HUMAN,0.332893397257019,0.375657386388057,0.354427885481179,0.371403967222143
sp|O60488-2|ACSL4_HUMAN;sp|O60488|ACSL4_HUMAN,0.0141053161507094,-1.23514556270115,0.89679213120208,-0.071094750306293
sp|O60493|SNX3_HUMAN,0.943247998137232,0.0366086335926117,0.198470874199686,-0.745238932172503
sp|O60502|OGA_HUMAN,0.0799414454295064,-1.10666242231899,0.058235317524066,1.22667513626587
sp|O60506-3|HNRPQ_HUMAN;sp|O60506|HNRPQ_HUMAN,9.67774903770646e-07,-4.0223538808033,3.82381165309198e-06,-4.32996573510186
sp|O60547-2|GMDS_HUMAN;sp|O60547|GMDS_HUMAN,0.399591355228719,-1.30802998974336,0.029799997476867,-2.27481299314697
sp|O60568|PLOD3_HUMAN,0.0232944974995659,-0.753937279904228,0.865257819653212,0.058956606505503
sp|O60610-2|DIAP1_HUMAN;sp|O60610-3|DIAP1_HUMAN;sp|O60610|DIAP1_HUMAN,0.53031281062337,-0.296859905857986,0.000322870551689558,-1.96653277095012
sp|O60613|SEP15_HUMAN,0.0452312700959996,-1.81846532860043,0.402858380597113,-1.01338097940848
sp|O60664-3|PLIN3_HUMAN;sp|O60664-4|PLIN3_HUMAN;sp|O60664|PLIN3_HUMAN,1.12722349232541e-08,-2.80468676889264,0.00420722032918031,-1.39886310711379
sp|O60684|IMA7_HUMAN,3.1392128408303e-05,-2.92365262281085,1.81076609662156e-06,-3.95295478275421
sp|O60687|SRPX2_HUMAN,0.0854843317716854,1.61113414930889,0.867702453979138,0.212504022059029
sp|O60701|UGDH_HUMAN,0.000411711318968777,-2.8148299100904,0.361819301127004,-0.787302733233073
sp|O60711-2|LPXN_HUMAN,0.224866577192167,0.285224288506757,0.374112392682572,-0.249062828364769
sp|O60716-2|CTND1_HUMAN;sp|O60716-3|CTND1_HUMAN;sp|O60716-4|CTND1_HUMAN;sp|O60716-5|CTND1_HUMAN;sp|O60716-6|CTND1_HUMAN;sp|O60716-7|CTND1_HUMAN;sp|O60716-8|CTND1_HUMAN;sp|O60716|CTND1_HUMAN,0.000789835890415702,-2.58024993489687,0.84103714236954,-0.167120026781121
